rainfall_mm,fertilizer_kg,sunshine_hours,soil_type,yield_tonnes
3.4044,15.0463,2.3546,clay,10.5381
7.0969,1.9446,1.0705,sand,0.1927
5.9259,0.0788,8.4444,clay,-14.6147
10.3433,4.6748,2.0508,silt,-3.263
5.1367,1.8695,5.3016,silt,-1.0259
2.8344,1.4192,4.2502,sand,-1.1883
1.4117,8.9202,4.2587,silt,3.439
1.7465,7.3825,9.3875,clay,10.11
3.78,6.1596,6.0238,silt,6.7347
1.0629,3.9155,4.1978,silt,3.5991
0.92,1.0257,11.0202,clay,15.3975
1.7288,1.3979,3.8022,sand,-2.685
4.5098,0.1017,8.1692,silt,1.0515
2.4951,3.3481,4.4286,silt,-13.8725
0.8469,14.4289,1.8765,sand,38.5154
3.9642,6.72,2.5073,clay,-12.647
4.7409,3.8844,3.7289,sand,-37.3493
0.6621,4.9767,1.5229,clay,-4.3556
2.0694,3.1505,4.7681,sand,-5.6357
4.2139,4.6784,3.3376,sand,3.6438
3.141,7.8598,3.8307,clay,14.2216
2.318,1.298,9.8423,clay,17.485
6.7351,5.6927,2.2996,clay,1.6511
5.8269,3.1807,3.8641,silt,17.5832
2.6219,1.9567,7.0897,silt,-12.9145
2.5335,3.5266,4.8796,clay,2.1067
2.6874,2.517,3.3987,silt,16.3661
2.8083,3.2359,8.8712,clay,-3.4675
4.85,3.6569,1.4746,silt,-0.5267
0.9849,6.4249,2.6089,clay,3.7722
3.1849,13.7589,2.1525,silt,13.2279
1.0739,0.6092,4.6455,silt,-7.1565
2.0304,3.2343,5.7569,clay,-3.1774
2.6108,4.6132,1.2099,silt,-15.2876
0.8287,2.9577,3.724,sand,2.5046
10.2617,7.4219,1.219,clay,-2.7298
6.0945,2.7462,1.4314,clay,4.6795
11.562,3.832,9.7356,silt,-11.7968
4.5839,3.937,2.6405,clay,15.9175
1.9202,4.9796,2.7127,clay,-12.3715
4.6109,2.9624,1.2462,silt,-2.3598
3.8375,1.6852,5.6806,silt,8.146
3.6561,3.1261,4.1638,clay,-0.3292
4.0792,3.9169,0.6307,sand,-1.4973
3.1475,5.5445,0.6131,clay,5.0969
2.089,2.8594,1.879,silt,-6.3659
1.5926,2.7321,1.4081,clay,0.2231
1.3351,5.303,1.5546,clay,10.9832
5.2113,3.2585,4.5721,clay,19.531
2.033,6.0261,5.6906,silt,4.7412
12.1953,2.2129,1.8756,clay,4.1936
6.6143,1.4123,0.88,sand,18.0326
1.888,7.5697,5.3325,sand,4.5607
6.2464,3.2913,3.2683,silt,0.328
3.6783,4.8602,17.8357,clay,20.3107
3.1655,2.9661,1.6378,sand,-3.8086
1.979,4.2096,3.2999,silt,10.1002
4.6201,1.6335,2.6988,silt,14.9643
0.7162,0.1897,0.9995,sand,2.2533
4.7607,1.1889,6.4895,clay,3.7557
10.8106,2.2551,8.1164,clay,-24.0411
3.5543,1.6708,1.799,clay,8.4759
9.6327,4.1709,0.8289,clay,6.5501
2.204,0.6203,5.9908,clay,-18.3919
6.7593,4.0563,8.3572,sand,26.0224
9.3457,5.1454,7.2475,clay,3.5127
2.9893,4.2528,2.0906,silt,-2.4609
3.8107,1.7886,2.9152,clay,-8.7202
6.8948,10.0224,1.3592,silt,-8.2431
0.7382,1.3422,4.1799,silt,-2.5162
4.1259,2.1083,3.1218,silt,-0.3069
1.2152,1.2761,3.6423,sand,-0.2761
9.3014,6.3465,0.5449,silt,-18.1483
3.4727,7.5984,4.8179,silt,15.5766
1.7457,5.1273,6.5841,silt,1.2191
0.6983,4.5347,2.9396,sand,2.5001
5.7431,2.7092,7.5173,sand,5.9679
0.6337,0.8287,4.8713,silt,-5.9471
3.4101,9.349,9.8543,sand,11.7693
3.7374,1.1974,0.954,sand,-14.866
2.0663,1.9633,0.503,sand,3.0276
4.8781,2.5615,3.3312,sand,-17.9967
3.4122,6.4332,3.9871,silt,7.0554
8.7031,16.3457,3.3423,silt,-30.6552
0.8261,1.723,12.2462,sand,9.7541
2.1659,2.7068,5.1495,sand,3.6634
0.8577,0.0213,1.2288,silt,-2.9495
3.3373,0.848,4.1235,clay,-2.9324
3.0552,5.6442,6.4727,sand,7.2573
7.6798,3.8495,2.1629,clay,-7.4188
4.0908,5.6521,7.3561,sand,9.4078
0.3804,7.3391,0.8804,sand,17.824
8.0209,2.7176,1.4077,silt,-25.6897
2.5754,5.3317,3.9552,sand,-13.3476
0.6481,1.1381,2.0312,sand,2.1372
5.4793,15.8914,0.9317,clay,-35.0622
1.1625,4.2175,4.0372,sand,4.4714
4.3533,5.006,2.8193,clay,-5.9418
7.9655,2.9624,4.0079,silt,5.4598
3.7875,8.8741,1.7541,sand,10.1326
2.8029,7.6834,3.4683,sand,5.5994
3.8454,2.1163,2.194,silt,3.9971
6.1866,1.604,1.9303,sand,18.3213
2.713,4.3858,4.0897,silt,3.111
2.9594,4.7533,2.432,silt,6.6057
2.945,2.4069,4.2925,sand,-7.1586
4.0489,1.842,4.5481,silt,-0.1721
1.6875,5.3635,1.2545,sand,-1.5907
4.8446,3.7985,2.5039,silt,0.7453
3.7475,2.2294,4.7927,clay,2.8463
