call_duration_min,first_contact_resolution,agent_experience_years,issue_type,satisfaction_score
3.1336,-0.4249,9.1492,general,4.2537
4.0708,0.0951,10.0955,technical,3.6996
4.2748,-0.677,2.4581,technical,5.5169
1.6155,0.2546,4.2645,technical,2.3479
1.2645,-0.6707,11.6487,technical,8.4757
2.6506,-0.2468,3.2362,general,3.5641
2.7342,-0.5642,4.0231,general,-3.382
0.256,-0.2998,1.7656,billing,5.5757
4.1145,0.5666,4.9767,general,-9.4443
8.8056,-0.1633,10.0244,billing,4.8921
1.0048,-0.4908,1.7411,general,-2.6445
9.5597,0.9549,7.1581,billing,-11.2439
3.4392,0.2369,7.4493,general,12.2653
1.7185,0.6244,2.6296,technical,-5.8257
1.943,-0.3382,4.7654,billing,9.613
2.822,0.1607,9.8356,billing,3.8417
4.3198,-0.4982,2.5699,billing,6.5376
1.1888,0.1288,0.3713,general,-3.0385
4.1739,-0.9146,3.3313,billing,9.339
3.1736,-0.7908,1.9569,general,0.4477
12.2959,-0.0208,2.5763,technical,-26.2263
8.1127,0.8874,3.0287,technical,-1.5603
5.0375,0.4902,2.3993,technical,4.1165
5.4034,-0.6652,3.513,general,-3.3913
4.0441,0.6115,5.6641,billing,-11.3216
4.1012,0.014,5.6375,technical,2.6134
9.4302,-0.6797,1.9868,technical,6.8323
9.2386,0.9906,7.3102,general,-14.4276
7.2186,-0.4261,7.5818,technical,-2.3082
2.9505,0.9283,2.2093,billing,-2.0736
2.3025,-0.5372,9.1565,general,2.4767
3.2271,0.4716,2.016,general,-0.6916
8.02,-0.9245,6.5978,general,-0.9418
8.6156,-0.932,4.2644,billing,11.8704
4.6438,0.5262,3.795,technical,-0.6243
1.3645,0.1354,3.2498,billing,-2.3878
2.219,-0.5323,1.1022,technical,-6.0068
7.3018,0.1593,4.151,billing,-2.4447
3.6748,0.8277,3.118,technical,-14.8664
2.505,0.0176,3.5154,technical,-5.1736
3.8165,0.2962,3.9093,billing,1.1273
0.9431,0.0338,3.8898,technical,-3.4082
3.5617,0.2647,2.0643,technical,-3.2474
3.4978,0.39,7.8301,technical,-7.1369
8.9047,-0.9982,4.5351,billing,14.8721
4.1237,-0.1946,2.4752,general,-2.4608
5.6692,-0.9493,1.5385,technical,17.649
2.2098,0.5452,1.7618,billing,-1.074
5.6238,0.6656,5.2158,billing,0.5793
2.266,0.2188,3.1298,general,0.5632
3.972,0.8079,0.9789,billing,1.6925
2.2499,-0.6892,3.9247,general,-3.3041
1.1993,-0.1237,1.5965,general,2.0539
5.8141,-0.1259,10.4901,technical,6.5371
5.0774,-0.075,0.6161,billing,4.1762
6.4945,-0.0581,4.5184,technical,-16.4008
4.345,0.1105,1.5673,billing,4.7827
4.4863,0.4341,4.665,billing,-3.3857
2.1702,0.3481,2.1742,technical,1.1081
2.6848,0.1797,5.3909,technical,9.1842
2.669,0.5706,3.8261,billing,-5.7301
4.6231,0.1776,2.4719,general,2.2835
3.4515,-0.4217,4.7403,technical,-2.9945
2.0749,0.7332,3.9761,general,2.573
5.5374,0.373,3.2589,technical,17.1771
1.6544,-0.2253,2.0067,billing,1.1656
2.8931,0.3956,2.0584,billing,-8.279
3.3776,0.16,7.3035,technical,11.7233
6.7894,0.5589,8.3167,technical,8.6945
2.1808,0.8043,1.4304,general,0.4947
4.7818,0.5331,1.3532,general,2.8126
2.859,0.9082,2.9911,general,-8.3784
5.0042,-0.6275,6.3721,billing,-4.4289
3.7457,0.0992,8.1015,general,-7.5915
3.3123,0.9632,9.2639,general,2.9027
2.0319,-0.0394,2.7113,general,-3.2347
4.5245,0.9368,0.989,general,0.8978
5.1826,0.5554,3.6175,general,15.4383
0.6637,-0.2153,13.3923,general,-7.5688
2.7008,-0.4943,2.9924,billing,-3.6187
0.5129,0.9316,6.5453,technical,7.0438
1.0417,0.2315,3.793,billing,-5.6275
2.3745,-0.4223,2.2494,billing,1.1244
3.8236,0.6123,2.6976,general,-0.062
1.9861,0.9521,1.8859,general,5.2384
3.4082,-0.1282,6.0705,technical,-5.801
3.7076,0.337,1.4752,technical,2.9991
4.3377,0.3012,4.2467,technical,-8.1502
1.9931,-0.276,5.9132,billing,13.3413
2.5614,-0.3946,0.3888,general,-2.0222
6.7414,-0.3321,1.1543,technical,-9.9952
1.6328,0.6122,1.4209,billing,1.3221
1.1391,-0.5103,2.05,billing,-2.1657
1.9652,0.3398,2.261,technical,2.2472
1.7917,-0.7827,2.5978,billing,0.621
17.9613,-0.2428,1.0292,billing,2.2414
9.2392,0.822,6.5329,technical,0.6096
5.4769,-0.9241,1.4509,billing,-7.903
9.5815,0.418,0.7688,billing,-3.6772
4.0391,0.0927,2.9761,general,2.7137
5.8307,0.0169,2.4737,general,0.8844
5.5854,0.0195,10.1402,general,23.4873
1.19,-0.4152,1.5342,technical,2.1873
2.7245,0.7919,1.7334,general,3.8439
6.9481,0.3291,2.1867,billing,20.1168
7.6567,0.162,0.5503,technical,-5.8451
3.6567,-0.4622,7.4723,general,7.8255
11.0865,-0.2049,1.0473,technical,-19.1372
5.2145,0.9639,3.1873,technical,6.1333
4.1545,0.4145,5.2387,billing,6.4033
5.3383,-0.8188,7.2545,technical,6.4076
2.6737,-0.9246,4.2553,billing,2.3512
2.7253,-0.4957,6.2449,billing,19.843
1.4692,-0.671,7.6901,general,-1.6741
0.7901,0.4528,2.1863,technical,5.1903
3.1357,-0.2707,0.6736,general,-2.1467
0.7382,0.8633,8.1168,general,8.3014
0.7165,0.0799,5.3674,billing,-17.0148
7.656,0.0891,8.4068,technical,-12.1347
4.8077,0.2321,5.3019,general,0.207
0.7968,-0.8946,5.7232,billing,-0.3765
1.506,0.5655,2.846,general,4.6647
3.0166,-0.7854,3.7686,billing,7.1267
0.661,-0.8002,2.0278,general,-3.7808
0.2753,0.9484,6.2949,technical,15.0782
9.3011,0.0683,3.4123,technical,18.8546
0.6163,0.1385,1.571,technical,-2.5672
1.2539,-0.0352,1.8852,general,0.1182
0.9114,0.4792,3.3003,technical,10.5031
0.8759,0.9912,2.9241,general,-0.9945
2.8576,0.182,5.6805,general,0.8981
3.4411,-0.8167,1.3188,billing,6.8412
5.5396,-0.2048,3.7575,general,10.1966
3.971,0.6313,4.4394,general,-16.4408
2.8513,-0.4104,6.441,billing,-3.4967
9.5634,-0.739,5.2077,general,6.3478
3.8461,0.344,2.2301,general,-5.4146
3.1969,-0.6255,4.5972,technical,9.7306
7.2456,0.7343,1.6869,billing,-1.7742
2.3089,0.5251,4.9341,billing,-15.7535
3.4147,-0.9417,3.1731,technical,-1.1164
8.0223,-0.0807,3.7873,technical,-12.8538
4.2537,0.2744,6.8427,general,-9.4645
5.35,-0.7842,2.7067,technical,-14.6209
5.2778,0.5518,1.9603,general,-2.4855
3.3276,-0.4365,1.4733,technical,-6.6102
0.8998,0.0038,1.3949,billing,1.4147
2.9419,-0.996,0.5223,general,5.278
2.9797,0.2354,3.6133,general,-11.8579
1.2861,0.9323,3.0187,technical,7.6962
18.2478,-0.9486,0.8215,billing,1.4825
4.5078,-0.2054,5.1339,general,6.8205
14.4979,0.0848,2.3233,billing,41.4726
4.4447,-0.8618,0.772,billing,-3.1975
4.7478,-0.6667,1.3682,general,2.9682
2.6864,0.7641,1.3008,technical,-2.1008
6.8662,0.5477,4.8816,technical,-17.7485
3.5379,0.2953,6.3232,billing,11.6848
9.9865,0.174,1.675,general,15.6509
2.8317,-0.6863,2.0299,general,1.808
3.8964,0.1248,5.1598,technical,5.6754
5.3291,0.1526,3.573,technical,6.9965
1.0845,0.6565,2.8935,billing,7.3475
0.9108,-0.1073,1.8044,general,3.3004
8.1681,0.6359,15.2524,billing,1.8408
5.9459,0.9624,8.0379,technical,-16.0685
1.0604,-0.4614,2.9971,general,2.5025
3.955,0.9053,1.3798,billing,-0.0376
5.2042,0.4322,3.6634,general,-6.0216
6.6875,-0.6105,1.7649,billing,-16.2764
2.0306,0.0025,3.733,technical,-0.5521
0.3852,0.4494,1.9402,general,-1.529
