age,income_k,credit_utilization,employment_status,defaulted
1.79,5.7189,-0.8301,part_time,0
7.8116,3.0514,-0.9592,full_time,1
2.997,5.3898,0.0055,part_time,0
3.2635,5.2245,-0.5718,part_time,1
3.5699,5.0521,-0.8655,part_time,0
5.5245,3.2291,-0.1714,unemployed,0
11.3918,1.3957,0.9242,part_time,1
0.7426,0.7739,-0.5987,full_time,0
4.0691,5.8566,-0.1751,unemployed,0
5.7537,7.626,-0.0292,part_time,0
7.6571,1.2725,0.705,part_time,0
2.5358,5.6028,0.3433,part_time,1
8.304,1.4392,0.8993,part_time,1
1.5367,0.9767,0.4879,full_time,1
1.7054,2.4823,0.8974,part_time,0
3.0482,3.4887,0.2908,full_time,0
0.8621,4.0427,0.917,unemployed,0
2.1982,1.9125,-0.8195,full_time,0
5.3095,1.2947,-0.4519,part_time,0
1.0102,0.7825,0.0127,unemployed,1
2.9641,4.2768,0.2822,full_time,1
8.689,0.4328,0.6939,part_time,0
7.5306,4.7652,-0.2648,part_time,0
3.0944,1.8053,0.9483,unemployed,1
1.9829,3.6282,-0.9718,part_time,0
6.1756,3.06,-0.2359,full_time,1
3.3045,5.6395,-0.4764,full_time,0
10.7084,2.9921,0.4267,unemployed,0
7.0791,3.5813,0.3416,unemployed,1
3.7007,3.8429,0.1191,part_time,1
3.6807,2.3586,-0.3735,part_time,0
0.7344,1.2416,-0.4725,full_time,0
4.3167,1.2896,-0.7028,full_time,1
5.8302,3.0418,0.1217,full_time,1
8.9185,6.9864,-0.4544,unemployed,1
11.512,2.9694,-0.8114,part_time,0
2.9161,4.1004,0.6614,part_time,1
3.0579,2.5317,0.9996,unemployed,0
2.9673,1.798,-0.8149,full_time,1
5.1535,3.0092,0.3081,part_time,0
0.3655,6.7331,-0.6003,part_time,0
2.2786,2.6449,-0.9191,part_time,1
0.8185,5.8247,-0.8416,part_time,0
0.5493,8.5228,-0.9098,part_time,0
1.0706,1.5966,0.481,full_time,1
2.4538,1.2015,0.6157,full_time,1
2.7354,9.7146,-0.9734,part_time,0
1.085,1.0138,0.3476,part_time,1
7.3163,4.065,-0.0378,full_time,1
3.7833,3.0314,-0.6678,unemployed,0
9.4608,2.8167,-0.3323,unemployed,0
2.4976,6.5947,0.0267,unemployed,0
