tenure_months,support_tickets,usage_hours,plan,geography,churned
0.0823,1.1782,-1.5925,basic,north,0
3.8125,1.5833,-0.1212,basic,north,1
3.3867,2.0153,0.6652,enterprise,south,0
2.7772,5.3011,-0.1581,basic,west,0
1.8478,8.0648,-1.2602,enterprise,east,1
3.0653,16.9563,-0.4399,basic,south,0
5.8117,1.7282,-0.7162,pro,west,1
3.0238,4.5027,0.321,enterprise,north,0
2.9906,1.7415,1.8459,enterprise,south,1
3.5418,4.5652,-0.1411,enterprise,east,1
5.3111,1.4977,0.4146,enterprise,west,1
2.2165,9.0966,0.4673,pro,west,1
5.336,2.5929,-0.1855,pro,east,0
4.9311,5.3654,1.9773,pro,west,1
1.8153,2.7708,0.6185,enterprise,south,0
4.6293,8.9191,-1.5618,pro,west,0
8.9511,3.734,0.7495,enterprise,north,1
4.7455,1.178,-1.3654,enterprise,south,1
12.2975,2.4389,-0.9351,pro,east,1
6.4063,1.1648,-0.7221,basic,east,1
2.9835,2.6438,0.5906,enterprise,east,0
0.8501,3.6339,-0.7472,enterprise,west,0
1.6931,3.6807,-0.1102,basic,east,0
3.2735,2.2196,0.9154,enterprise,north,1
5.0129,2.0447,-0.0682,pro,south,0
4.386,13.3074,0.1715,basic,west,1
1.9884,5.1966,0.7517,enterprise,south,0
6.8806,7.8255,-0.3129,enterprise,south,0
5.3856,1.9864,0.542,enterprise,north,1
6.8377,7.3008,-0.5173,enterprise,west,1
5.2444,3.3236,-0.1136,basic,north,1
3.0114,1.494,-0.1464,basic,west,1
4.3657,9.2449,1.128,basic,north,0
1.6132,6.4019,-0.361,pro,north,1
13.2323,2.4484,-0.1722,pro,west,1
1.1014,1.9685,-0.2969,basic,west,0
5.3521,7.8519,0.1581,basic,west,1
3.0155,1.6302,-0.102,enterprise,north,1
2.2797,4.1935,0.9868,enterprise,west,1
4.2668,8.9813,0.1268,enterprise,west,1
2.248,2.9417,-1.7371,pro,south,0
2.5366,2.5439,-0.2102,pro,south,1
1.359,6.4501,0.5192,pro,south,1
3.4344,5.1215,0.2039,pro,south,1
1.7964,1.2292,-0.1551,basic,east,1
0.2171,2.6664,0.842,enterprise,east,1
2.9281,6.1766,0.763,enterprise,south,1
6.5827,2.5884,-0.0177,pro,west,1
11.2136,3.7947,-0.0056,enterprise,south,1
4.9677,0.894,0.0837,enterprise,north,1
0.1375,9.8789,0.1886,basic,east,0
1.5172,5.9055,0.8437,pro,east,1
3.8086,4.417,1.428,enterprise,east,0
2.5406,6.4157,-1.0094,basic,south,0
2.5532,2.6444,0.6982,basic,south,1
2.4486,3.136,0.1886,enterprise,north,0
7.2706,0.5717,0.2357,basic,west,0
0.6344,2.0686,0.8585,basic,north,0
5.6989,3.3868,-1.1659,basic,north,1
5.9567,4.9654,0.212,pro,north,1
5.8627,1.2926,0.7575,enterprise,north,1
14.7721,1.3519,0.6259,pro,south,1
3.6377,0.7669,0.374,enterprise,north,0
1.1867,3.6974,0.802,pro,east,1
1.5624,5.8817,-0.5218,pro,east,1
4.4221,4.4768,0.3518,pro,north,1
1.2449,1.6181,-0.1714,enterprise,south,1
1.1378,2.8778,-0.6121,enterprise,south,0
0.9381,2.0667,-1.738,pro,south,1
2.0643,7.3086,-0.1692,enterprise,south,0
1.2778,2.8153,0.5506,pro,north,0
8.7219,6.4612,0.6001,pro,west,1
1.9226,6.9371,-1.9959,basic,east,1
1.868,0.894,0.0686,pro,south,1
4.9742,2.2893,0.7675,basic,west,1
1.4875,1.3844,-0.3685,enterprise,north,0
1.4413,0.9041,0.9295,pro,west,0
1.6569,5.3741,0.1334,pro,west,0
10.4837,3.2703,-0.5547,pro,east,0
2.1255,5.0276,0.4681,pro,east,1
5.802,7.1972,0.2608,pro,north,1
15.2755,1.8171,1.5207,pro,west,0
1.7106,1.288,-0.9882,pro,south,0
2.8909,7.4625,-0.7421,basic,north,1
1.8028,2.522,-0.2634,basic,west,0
3.5315,4.0458,-0.0006,pro,south,0
3.108,11.5017,0.9546,basic,west,0
9.6339,5.5401,2.0624,pro,east,0
3.4643,5.7347,0.8732,pro,north,1
1.5063,0.3943,-0.5625,enterprise,west,0
3.1855,5.3935,0.3455,enterprise,west,1
2.2972,4.2001,-0.0603,basic,east,0
3.8275,2.8635,-1.7908,basic,south,0
3.7048,10.7599,1.5694,enterprise,west,1
2.9724,6.0376,-0.9142,pro,east,1
2.866,1.9623,-0.044,enterprise,west,1
3.4185,3.9997,-0.8636,basic,east,0
5.1039,4.2293,-1.2163,pro,north,1
3.3512,4.9633,-0.3562,pro,north,0
5.0882,3.5537,-2.0052,basic,east,1
0.4112,4.109,-0.9879,enterprise,east,1
7.7903,5.4919,0.0593,pro,north,0
2.9714,1.483,0.4128,pro,south,1
3.3993,2.2599,-0.3413,enterprise,east,0
5.8816,3.5663,1.8153,enterprise,north,1
11.2554,11.4904,-0.6944,enterprise,east,0
6.4918,4.6324,-1.2249,enterprise,west,0
3.842,3.949,0.259,enterprise,north,0
3.4703,7.4105,0.7445,basic,south,1
1.9758,6.8084,-1.6073,enterprise,east,0
4.6134,0.5121,-0.6095,enterprise,south,0
1.8576,2.5622,-1.4725,enterprise,south,1
5.1056,15.3717,1.8228,enterprise,north,0
3.1884,2.169,0.725,basic,south,1
7.7733,2.7775,-0.8191,basic,north,0
0.9925,2.4143,0.5946,enterprise,east,0
5.4657,5.8907,0.4831,enterprise,south,0
1.1182,1.4937,0.5608,enterprise,south,0
0.3428,0.3435,0.4402,basic,south,0
2.6331,17.1606,1.5773,pro,south,0
0.6354,1.5104,0.8774,basic,east,1
5.1292,4.1792,-1.4909,enterprise,north,0
1.7296,6.288,-0.5501,basic,north,0
7.1239,3.3788,-0.8942,pro,north,0
5.9082,7.1384,-2.2198,basic,west,0
4.1129,3.4168,-0.3164,basic,west,0
3.3164,2.4009,-0.1315,basic,south,0
0.8734,5.9225,0.2263,enterprise,east,1
4.3705,3.9998,0.5006,basic,north,0
3.9352,1.6444,-0.4736,pro,north,0
1.942,0.888,0.8641,pro,north,0
3.8023,8.7525,1.5463,pro,east,1
7.4585,6.3161,0.7807,enterprise,south,1
4.0315,5.6541,-0.4196,basic,south,1
1.3651,9.0717,0.3263,basic,east,1
3.4055,0.362,0.5534,enterprise,south,1
12.3574,4.3527,0.3744,pro,south,1
0.2183,3.8021,0.788,pro,west,0
1.9378,1.3818,1.266,enterprise,north,1
6.7003,3.1675,-1.0751,basic,west,1
1.9256,6.7957,0.9503,enterprise,south,0
4.7249,5.0352,0.2448,pro,south,1
5.9399,3.207,1.1004,pro,south,0
4.6255,4.1214,0.1789,enterprise,south,1
9.3461,1.8195,0.2456,pro,north,1
2.8102,3.5405,-1.4034,basic,east,1
4.4474,3.3431,-0.9769,enterprise,north,0
3.937,2.8944,-0.683,enterprise,south,0
5.0574,1.4785,0.3685,enterprise,east,0
6.1626,2.2272,-1.4315,basic,north,0
3.7559,7.9412,0.154,enterprise,north,0
12.4432,2.7945,1.198,pro,west,1
2.3367,1.4721,-0.5982,enterprise,east,1
3.3054,5.8866,-0.313,enterprise,west,0
2.8444,3.293,-0.3543,pro,east,0
9.7704,1.8112,-1.0375,enterprise,east,0
0.5197,4.6834,-0.8133,basic,north,0
5.0767,8.1431,0.5402,enterprise,west,1
8.0318,5.7192,-0.1444,pro,south,1
3.7905,2.2915,-2.1641,enterprise,west,0
1.08,1.31,0.8361,enterprise,west,1
2.0396,4.1001,0.5785,pro,east,1
3.5789,4.0626,1.6201,basic,north,1
3.595,1.2561,0.5736,pro,east,1
5.9279,2.5501,-1.1675,basic,west,1
0.9307,2.2398,0.4828,enterprise,south,0
3.4358,3.4246,-0.2906,pro,east,0
2.3287,5.8672,0.2554,pro,east,1
2.5685,3.8475,-0.8962,pro,east,1
0.8059,13.5764,-1.1065,basic,west,1
0.871,3.293,0.2099,basic,south,1
1.2546,8.0018,1.0133,enterprise,east,0
5.084,0.6784,0.2843,basic,north,0
2.1323,0.5312,2.288,enterprise,east,1
9.4825,1.3664,-2.2324,pro,east,1
1.6073,1.4386,0.3787,basic,north,1
3.9978,1.4154,-1.5763,basic,east,0
6.291,2.9673,0.0412,pro,south,1
2.9371,3.5748,-2.1168,pro,east,1
5.4882,1.0924,0.3491,enterprise,east,1
9.2207,6.1436,0.556,basic,south,0
4.9313,4.9239,1.0442,enterprise,east,1
1.0573,1.9052,0.7894,basic,east,1
3.8673,3.2538,0.7268,pro,north,0
9.7773,4.3832,-1.241,enterprise,south,1
2.4337,3.0839,0.155,basic,west,1
2.2135,5.7998,0.858,pro,east,1
8.3848,0.9438,1.2322,enterprise,north,0
2.4751,3.5874,-0.5718,basic,east,1
4.6996,2.3371,-1.7139,basic,west,1
6.3379,7.5898,0.4165,basic,north,0
1.8461,2.1408,-0.0824,enterprise,south,0
9.267,8.1122,-1.2922,basic,north,0
2.8728,5.29,-0.1052,pro,west,0
2.1891,1.1146,-1.8519,enterprise,east,1
7.1734,6.7262,0.2131,enterprise,north,1
0.8198,4.2714,-0.2047,pro,west,0
3.632,5.7542,-0.6749,basic,east,1
5.8371,3.4493,0.9756,basic,west,0
4.8411,4.8029,-0.2031,pro,south,0
6.1462,0.2951,0.1385,enterprise,south,1
3.1812,5.0333,-0.4011,enterprise,west,1
2.0336,2.7365,-0.5997,enterprise,west,1
3.305,3.8448,-0.0094,pro,south,0
2.458,1.2141,-0.2363,pro,south,1
0.8674,0.8996,-1.3925,pro,north,0
6.1428,1.4738,-0.1534,basic,east,1
7.7939,1.7542,0.5125,pro,north,0
6.7563,5.2145,1.2515,basic,north,0
5.2766,2.5025,1.6291,enterprise,west,0
1.922,2.4704,0.8547,pro,east,1
