purchase_frequency,avg_order_value,loyalty_score,customer_segment,lifetime_value_k
3.8405,4.4004,-0.611,budget,1.503
2.1284,0.7647,0.6597,premium,6.7191
2.9216,1.9581,-0.2963,mid,1.0686
1.0606,3.3186,-0.2033,premium,8.7129
3.8806,7.3018,0.8272,premium,-17.3457
3.9463,2.6137,0.0094,budget,3.6042
1.2255,2.0365,0.4583,budget,0.5344
7.7584,4.1785,-0.2747,mid,-7.9762
4.8787,10.4557,0.5788,premium,-2.364
3.0116,7.0862,0.2401,premium,4.0986
1.8431,1.9006,0.0669,mid,-4.0022
4.5986,0.9122,-0.3908,premium,3.7002
3.9401,3.624,0.6887,premium,-2.1717
7.6235,6.8621,-0.9906,premium,-2.513
5.6477,0.7315,0.1818,budget,-9.3016
1.6754,2.4421,0.6938,budget,-2.2601
0.312,1.3552,0.5244,mid,-2.5544
2.5507,1.6799,-0.3391,premium,-2.462
5.9579,2.0691,-0.8471,mid,10.501
4.825,4.2444,-0.5793,mid,8.6573
2.2254,4.2307,-0.4506,budget,11.9923
0.714,1.2327,0.0428,premium,8.4061
2.4786,6.2489,-0.9087,premium,-1.2723
2.8949,5.7062,-0.9038,budget,-7.0145
6.418,7.613,0.166,premium,-4.664
0.9894,1.5291,0.9087,mid,-1.2557
8.7953,3.3256,-0.9967,budget,8.3575
3.77,3.8645,0.7115,mid,3.3096
3.4825,4.8986,-0.1746,budget,-3.8237
2.3927,4.8438,-0.792,premium,-13.1158
3.5157,3.3799,-0.2245,premium,8.6837
1.5296,7.8399,-0.0225,premium,5.8024
2.3626,5.5119,-0.8885,budget,9.6516
3.9999,5.0425,-0.6946,premium,4.4719
3.3803,5.0375,-0.6126,budget,-4.6816
2.1061,4.4828,0.0911,premium,-5.2431
3.4291,6.3877,0.558,premium,6.5194
2.6623,2.1093,0.3612,mid,1.1876
4.8409,10.7487,-0.7909,budget,-10.6795
5.3066,1.346,0.7684,premium,0.6467
12.2289,0.595,0.7435,premium,6.7498
6.7733,1.2875,0.9126,mid,-4.3709
1.8266,6.0374,0.3819,premium,11.3776
9.6731,12.6185,0.75,mid,7.1085
9.1102,8.4848,-0.9992,mid,3.6925
6.5832,6.5188,0.2037,mid,-10.1698
2.1443,1.0626,-0.4666,budget,-3.5147
3.5291,0.8907,-0.8671,mid,-7.9411
1.4627,1.2202,-0.285,premium,4.5553
1.4286,3.4526,0.5898,mid,0.9239
2.222,5.8933,0.6461,premium,-7.0305
1.3,3.2277,-0.264,budget,2.4022
6.8402,5.3879,-0.9561,premium,35.8064
3.1347,1.7486,0.7946,mid,-3.0616
