years_at_company,job_satisfaction,performance_score,department,left_company
4.6747,0.758,0.219,engineering,0
2.622,-0.3326,0.3408,engineering,0
1.7959,0.3345,-0.3678,finance,0
1.101,-0.9956,-1.0888,finance,0
0.4579,-0.1451,-0.8712,finance,0
1.5176,0.2732,0.2991,finance,1
4.1848,0.4298,0.2671,sales,1
8.1432,0.9152,-1.3881,engineering,1
0.3744,-0.515,1.5565,engineering,1
2.0509,0.3255,0.4091,hr,0
9.1377,0.5308,-1.9532,finance,0
1.2203,-0.6882,0.0187,sales,0
1.6843,-0.4839,0.2186,hr,1
4.2014,0.2381,-0.0463,sales,0
3.2086,-0.6704,0.3178,sales,1
5.0426,-0.7871,2.5332,engineering,0
2.6721,0.1275,-0.9807,sales,0
1.4697,-0.2187,-0.9214,sales,0
7.9419,0.7376,-0.7876,sales,1
3.8353,0.4371,1.1733,hr,0
3.4149,-0.92,0.0597,sales,1
4.669,0.5326,0.1564,finance,0
3.7833,-0.2733,0.2548,finance,0
1.7904,0.9434,-0.3245,engineering,1
3.2602,-0.1736,0.5107,sales,0
10.0648,-0.4187,1.2151,finance,1
2.767,-0.7818,2.0405,finance,1
2.303,0.4046,1.5532,finance,0
1.1551,-0.8752,0.6812,engineering,0
3.3803,-0.8328,-0.4021,finance,1
3.0697,0.8033,0.3852,finance,0
0.5571,0.8252,-0.579,engineering,0
3.223,0.8779,-0.3173,finance,1
2.7678,-0.4744,0.1442,finance,1
7.2085,0.3929,0.2131,engineering,0
8.8972,0.7933,-0.1668,finance,0
2.0844,-0.3283,-0.8722,engineering,1
1.083,-0.4335,0.2457,sales,1
4.6728,0.2477,-0.9553,hr,1
1.6948,0.7127,0.393,finance,0
5.5131,-0.471,-0.5822,finance,1
0.817,0.4825,-1.691,finance,0
0.8191,-0.7423,0.0987,engineering,1
1.8127,0.5686,-0.062,hr,1
2.5813,-0.9444,0.358,engineering,1
3.8612,-0.5565,-0.0874,finance,1
2.7167,0.2768,-2.0604,sales,1
8.5407,0.8254,0.6035,finance,1
2.7102,0.8166,1.8487,sales,0
2.1283,-0.99,1.1946,sales,0
5.0784,-0.941,-0.7996,hr,1
3.2982,0.4904,-0.935,engineering,0
0.742,0.5863,0.5195,finance,1
0.9901,0.2146,-0.7482,sales,0
2.8338,0.2078,-0.3132,sales,0
2.525,0.3139,0.5075,sales,0
3.4023,-0.8675,0.3575,sales,0
2.4289,-0.6037,1.1368,sales,1
