temperature_c,humidity_pct,wind_speed,day_type,consumption_mwh
-0.3185,-0.5637,0.1491,weekday,-0.714
1.0944,0.5712,-0.3498,weekend,1.4368
-1.0721,0.7162,-0.0202,weekend,-1.1971
1.8101,-0.0825,-0.1732,weekday,-1.9066
0.097,-0.0911,-0.5514,weekend,3.0352
-1.1206,0.562,-0.2308,weekday,1.1219
-0.1177,0.5989,-0.9594,weekday,0.412
-0.3652,0.2272,0.0598,weekend,1.6864
-0.5533,0.1359,-0.6132,weekend,1.8635
0.5038,0.6838,0.128,weekend,0.2854
-0.3446,0.065,-0.1384,weekday,-2.5775
0.1495,0.9919,0.3619,weekend,-0.7019
1.3714,0.175,-0.4392,weekend,0.0601
0.8251,0.1966,0.8765,weekend,-0.6129
0.8509,0.6341,-0.1764,weekday,0.5623
-1.4244,0.5067,-0.6714,weekday,-1.1274
1.6356,0.6546,-0.41,weekend,-2.6486
0.1217,0.7603,0.3735,weekday,-0.4877
1.8327,0.6858,-0.8303,weekday,-1.7003
-0.0652,0.11,0.8999,weekend,2.9337
-1.0233,-0.1502,0.5894,weekend,-2.9653
0.1985,0.5451,-0.818,weekday,0.6138
0.2438,0.8187,0.4752,weekday,-1.0155
-0.4387,0.7688,0.1046,weekday,-2.064
-1.6688,-0.5894,-0.559,weekday,-1.0562
-0.0846,-0.6707,0.6945,weekday,0.2508
-0.0914,-0.6702,0.2741,weekday,-1.6968
-0.2837,0.2617,-0.9483,weekend,2.7651
-0.2901,-0.6815,-0.7041,weekend,-0.8637
0.8764,0.2433,-0.2411,weekend,-1.2873
0.6843,0.2733,0.4478,weekday,-2.2069
-0.2373,-0.3567,-0.2676,weekend,-0.1962
-1.0241,0.2042,-0.08,weekday,3.603
-0.55,-0.8786,0.8563,weekend,1.4323
1.1275,-0.4827,-0.6451,weekend,-0.4313
0.3105,-0.2006,0.346,weekend,-0.3553
-0.5126,-0.1847,-0.5146,weekday,-0.4098
-0.6423,-0.8357,0.6441,weekend,-7.2024
1.1009,0.5773,-0.2619,weekday,-1.5847
2.3641,-0.1776,-0.4188,weekday,-1.1266
-1.0833,0.9646,0.945,weekday,0.4298
0.9454,-0.5907,0.9395,weekday,0.9676
-0.6546,-0.7172,-0.8109,weekend,3.8709
0.3173,0.2617,-0.5664,weekend,0.6876
2.2958,0.5001,-0.0067,weekend,-8.2361
-0.1312,-0.9832,-0.5826,weekday,-0.482
0.5721,-0.9738,-0.3323,weekend,-0.4873
-0.3252,-0.9939,-0.5726,weekend,-1.0857
1.6453,0.5437,0.0785,weekend,-1.1778
1.9852,0.6299,-0.5688,weekday,-4.9284
1.1048,0.3908,-0.4121,weekend,1.5812
0.7245,0.8712,0.9326,weekday,0.0683
2.7363,0.9805,-0.5936,weekday,-3.8509
0.7809,-0.5743,0.5352,weekend,-1.2118
-1.6563,0.6949,0.1227,weekday,1.2877
0.2047,0.1091,0.9703,weekend,0.6059
0.8582,-0.9078,-0.2514,weekday,-0.8291
1.2427,0.9864,-0.8703,weekday,2.7409
0.5824,0.1957,0.8852,weekend,2.0592
0.0562,0.3518,0.7084,weekend,-3.1891
-0.8628,0.1307,0.5446,weekday,4.112
0.2078,0.5611,-0.1403,weekday,1.2215
-0.9808,0.5276,-0.939,weekday,4.6247
0.2115,0.2048,-0.5121,weekday,-1.6666
-0.1368,-0.3106,0.3272,weekend,1.1565
-1.6493,0.3531,-0.4679,weekend,0.7958
0.0831,0.6175,0.6612,weekday,0.2265
0.2899,0.5544,-0.7021,weekend,1.8363
0.2778,0.5047,0.3354,weekend,1.2535
2.0555,-0.5959,-0.6133,weekday,-0.4699
-0.1811,0.2131,-0.3572,weekday,2.1881
-0.2021,-0.8994,0.275,weekend,-0.3705
2.2333,0.452,-0.1767,weekday,3.859
-0.0818,0.8457,0.964,weekday,1.4238
-1.1118,-0.6095,-0.5358,weekend,1.4316
-0.3413,0.8543,-0.5902,weekday,-1.1131
0.2704,0.6503,-0.3645,weekend,0.3666
-0.4603,0.1851,-0.6626,weekday,-0.3713
0.1936,0.9899,-0.5902,weekday,-0.1216
-0.0255,0.0268,-0.8496,weekday,-0.3955
0.4928,0.0388,-0.6568,weekend,0.5583
0.498,0.6451,-0.77,weekend,-1.2772
-0.089,0.4056,0.2733,weekday,-0.3717
0.0315,0.5598,0.5848,weekday,-0.4892
0.3068,0.3478,-0.2133,weekend,-1.6724
-0.1396,-0.6993,0.3026,weekday,1.7337
0.0078,0.1151,0.3637,weekend,2.2113
1.7719,0.5968,0.3836,weekend,6.8079
-0.3029,0.765,0.4708,weekday,0.1193
-1.0623,0.8258,-0.1172,weekday,-1.4574
-1.1789,-0.6265,-0.096,weekday,-0.845
-0.2323,-0.2311,0.2473,weekend,1.6246
-1.337,0.4995,0.0643,weekday,0.5494
1.6064,-0.9402,-0.2793,weekend,-2.3633
-1.1879,0.7995,0.4929,weekend,0.2149
0.3393,0.6305,0.2766,weekday,0.3918
0.3324,0.8812,0.803,weekday,-1.0229
-0.4124,-0.3242,-0.0334,weekend,-2.8282
0.059,-0.3133,0.3729,weekday,-0.8097
-0.3142,-0.2274,-0.3512,weekend,0.2626
-1.088,0.7555,0.6487,weekday,-0.1891
0.8952,-0.528,-0.828,weekend,-1.4176
-0.7021,0.4579,0.7722,weekend,4.1473
-0.6339,-0.9679,0.9055,weekday,-3.4356
0.3138,0.0584,0.3922,weekday,0.8682
-2.0311,0.0285,0.534,weekday,4.2423
-0.6157,0.7281,-0.169,weekend,-3.9482
-0.8325,0.7863,0.2643,weekend,-0.6759
-0.622,-0.7422,0.821,weekend,2.071
3.0885,-0.3863,0.1727,weekday,-1.1245
0.2322,0.737,-0.9889,weekday,-0.5662
-0.3229,-0.4313,0.2338,weekend,-1.9585
-0.3203,0.5777,-0.4147,weekday,-0.0183
0.7327,0.8994,-0.5631,weekday,-2.4612
1.1152,-0.9858,-0.8148,weekday,3.8279
0.341,-0.31,0.5339,weekday,-0.5381
-1.4125,0.9466,-0.4687,weekday,5.0111
-0.9778,0.3396,0.7993,weekday,-2.0559
0.9295,-0.8734,-0.6034,weekday,0.1012
0.2661,-0.6549,0.1337,weekend,2.6379
-0.3683,0.2807,0.1013,weekday,0.1199
0.4239,-0.3596,-0.4664,weekend,1.2878
-0.1617,0.1421,-0.4922,weekend,-1.4998
0.5753,-0.1224,-0.6513,weekday,2.6203
0.6276,-0.5715,0.635,weekday,-0.3101
0.1577,0.4584,-0.8914,weekday,1.8141
0.9291,0.0372,0.1378,weekday,3.2861
-0.5617,0.07,0.5974,weekday,0.4945
-0.2453,0.7104,-0.781,weekday,3.7829
0.3204,0.2858,0.8537,weekend,0.4981
1.0808,-0.8866,0.8233,weekend,-3.5336
0.7467,0.2666,-0.7689,weekend,0.2359
0.2784,-0.7681,-0.791,weekday,-2.3104
-0.4242,0.5199,-0.6041,weekday,-1.4265
