volatility_index,leverage_ratio,liquidity_ratio,sector,high_risk
4.6821,0.7326,-0.5542,banking,0
2.9453,0.934,-0.68,asset_mgmt,0
2.1581,0.4423,-0.9417,insurance,0
1.0324,0.5741,0.3188,banking,1
3.1562,0.1726,-0.4398,asset_mgmt,0
0.613,-0.5962,-0.4076,banking,0
4.7709,-0.4787,0.4477,banking,0
2.5085,-0.618,-0.7607,asset_mgmt,0
0.8294,-0.0998,-0.73,asset_mgmt,0
2.6528,0.0649,-0.7898,asset_mgmt,0
0.6952,-0.3658,-0.2537,asset_mgmt,1
8.0657,-0.6194,0.6634,insurance,0
2.0752,-0.6385,-0.5121,asset_mgmt,1
5.3841,-0.6566,0.0786,banking,0
5.5109,0.9948,-0.4716,banking,0
6.123,0.0406,-0.666,asset_mgmt,0
14.2599,0.1703,0.8913,asset_mgmt,1
0.6039,0.2418,-0.3281,banking,1
2.4498,-0.0909,0.0512,asset_mgmt,1
6.1939,-0.8694,-0.2251,banking,0
2.0874,-0.3026,-0.866,insurance,1
5.5236,0.9182,-0.2254,insurance,0
5.805,-0.4535,0.317,insurance,1
2.7957,-0.5844,0.5427,asset_mgmt,1
4.5979,0.7275,-0.6298,insurance,1
4.5016,0.7215,-0.1244,asset_mgmt,1
0.7917,-0.0755,0.5615,insurance,1
2.5597,-0.0867,0.7411,banking,1
0.3395,0.7102,0.8154,asset_mgmt,1
1.3698,0.0794,-0.5354,insurance,1
3.3117,-0.5394,-0.0498,banking,0
4.7192,-0.4486,0.9069,asset_mgmt,1
1.7308,0.2913,0.9712,asset_mgmt,0
0.4861,0.4527,-0.196,banking,0
4.4495,0.1045,0.7805,banking,1
3.2201,-0.8332,-0.3485,insurance,0
0.3411,-0.0043,0.8139,asset_mgmt,0
3.5085,0.0441,0.1558,insurance,1
4.5409,-0.1044,-0.407,insurance,0
0.8741,0.7572,0.625,insurance,0
6.6631,0.3757,0.1744,asset_mgmt,1
2.8866,-0.8445,0.0812,asset_mgmt,0
12.1711,-0.058,0.8829,banking,1
0.913,0.5459,-0.6665,insurance,1
5.9385,-0.3276,-0.6281,banking,0
6.2625,0.6408,-0.7882,asset_mgmt,1
4.3316,-0.1107,-0.1686,banking,0
7.4141,0.7501,0.0225,insurance,0
3.8238,-0.6168,-0.4265,banking,1
1.7631,0.8823,-0.4199,asset_mgmt,0
2.8669,-0.7727,-0.5539,banking,1
10.3492,0.3192,0.0808,insurance,0
3.8387,-0.6212,0.2889,insurance,1
4.1071,-0.3342,0.0141,insurance,1
0.1003,0.2828,0.1367,asset_mgmt,1
4.2537,-0.4944,0.3354,banking,1
1.3646,0.2209,-0.3984,insurance,0
0.5528,0.9385,0.1032,asset_mgmt,0
0.8566,-0.0283,-0.5419,banking,0
2.7265,0.7954,0.4035,asset_mgmt,0
3.3049,-0.8276,-0.7007,insurance,0
0.4586,0.9814,-0.903,asset_mgmt,1
0.7143,-0.4582,-0.6879,banking,0
3.6441,0.9783,-0.6121,asset_mgmt,0
0.5134,0.1029,0.1574,asset_mgmt,0
4.4042,-0.0707,-0.3562,banking,0
1.4588,-0.6123,0.0077,insurance,1
6.2871,0.3683,0.463,insurance,0
4.451,0.8893,-0.1497,asset_mgmt,0
0.9103,-0.216,-0.8088,banking,0
1.2263,0.5687,-0.7501,asset_mgmt,1
6.2601,-0.2187,0.3698,banking,0
0.3796,0.2638,0.0393,banking,1
1.7346,0.24,0.6681,insurance,0
3.4893,0.2012,0.901,asset_mgmt,1
8.8311,-0.0499,0.9202,insurance,1
2.665,-0.9978,0.5768,banking,1
4.485,-0.7894,0.1477,banking,1
7.3399,0.0059,-0.5403,asset_mgmt,1
2.0932,-0.3087,0.1565,asset_mgmt,0
4.2259,0.2642,-0.7131,banking,1
1.906,0.29,-0.9652,insurance,0
8.0743,-0.8234,0.6707,asset_mgmt,1
3.4267,-0.4027,-0.8536,banking,0
1.6628,-0.0359,0.692,banking,0
6.8888,0.8998,-0.1063,banking,0
1.0309,-0.9819,-0.959,insurance,0
0.0897,-0.5895,-0.3792,insurance,0
5.9566,-0.8342,0.9535,insurance,0
3.753,0.6182,0.3409,banking,1
2.4258,0.0148,-0.8292,asset_mgmt,1
1.3982,-0.8655,-0.7739,banking,1
1.8758,-0.7412,-0.0769,banking,1
5.5871,0.0163,-0.6485,insurance,1
2.0418,-0.3897,-0.1044,banking,1
3.9935,0.4307,0.2985,banking,1
3.1851,0.2914,-0.2848,banking,1
2.1417,-0.1867,0.0477,insurance,1
5.577,0.3504,0.5297,banking,1
4.5762,-0.1283,-0.4059,insurance,0
3.089,-0.8593,-0.4872,banking,1
5.2025,-0.2261,0.9235,asset_mgmt,0
2.4318,-0.0756,-0.2403,banking,0
3.5565,-0.6475,-0.0346,asset_mgmt,0
1.7008,0.9361,0.5081,insurance,1
1.4401,0.1074,0.1345,asset_mgmt,1
7.5594,-0.1859,-0.645,insurance,1
9.0499,0.6665,-0.3528,insurance,0
7.2133,-0.0797,-0.2256,asset_mgmt,0
1.2075,0.7851,-0.6353,banking,1
8.7271,0.5019,-0.0331,asset_mgmt,0
8.7934,-0.6138,0.9846,banking,1
1.6477,-0.2258,-0.5967,banking,0
3.6686,0.0899,-0.1688,insurance,0
4.366,0.6995,0.6553,asset_mgmt,0
3.7654,-0.2532,0.1573,asset_mgmt,0
1.4554,0.0531,-0.6738,insurance,0
2.353,0.3287,0.6361,asset_mgmt,0
5.7087,0.8239,0.7205,banking,1
4.9422,-0.2683,0.5,insurance,1
8.1924,0.8971,0.2787,insurance,0
3.6613,0.2859,0.8857,insurance,0
1.7336,0.5349,-0.2021,insurance,0
2.7157,0.0228,-0.165,asset_mgmt,1
1.9973,0.7065,-0.4315,banking,1
8.3447,-0.004,-0.7323,insurance,0
2.0389,0.7368,0.6798,banking,1
3.8536,0.8215,-0.4672,insurance,0
1.0888,-0.2165,-0.7873,insurance,1
2.7271,0.5969,0.1058,asset_mgmt,1
0.1455,0.0588,-0.1512,banking,0
6.6195,0.928,0.7902,asset_mgmt,1
