requested_amount,annual_income,credit_score,loan_purpose,approved
1.8887,2.5144,0.0332,education,1
4.8846,1.4299,0.0033,education,1
3.9633,1.574,0.1216,home,0
2.1368,1.0414,-0.5001,home,0
3.9138,5.153,-1.0029,business,0
3.1208,1.812,-0.9868,education,1
3.6139,1.8759,0.6498,home,1
3.5505,9.1859,-0.0745,business,1
5.0731,2.1641,-1.3373,business,0
6.7182,3.382,-1.5614,home,0
5.5356,5.6345,-1.5046,education,0
4.6689,0.9923,-0.1903,auto,1
3.7487,3.432,2.0102,business,1
5.9859,3.1091,0.2001,business,1
10.5687,5.5383,0.6873,business,0
1.1005,4.1597,-0.4555,education,1
0.7094,4.2749,1.3704,auto,1
3.0254,1.3376,1.0516,auto,1
6.9395,6.5795,1.3166,auto,0
3.6425,0.6837,0.48,business,0
3.45,4.8811,0.7277,home,1
0.7227,1.7676,-2.1885,home,1
3.6699,6.645,2.2026,auto,1
2.7662,2.6839,0.9526,home,1
1.2703,0.7273,-1.2104,auto,0
4.1988,2.1714,0.7536,education,1
2.7607,6.9854,0.4072,auto,1
4.9862,5.8572,-0.5426,home,1
4.3127,2.9893,-0.0098,auto,1
4.3282,1.2582,0.0014,education,0
2.114,0.7967,-0.6954,home,0
1.379,9.4014,-1.3506,business,1
1.3324,4.6634,0.8123,education,0
3.1596,2.0209,-1.4536,education,1
5.9367,4.6084,-1.171,home,1
3.7976,5.2511,0.2257,auto,1
7.3733,0.7371,-0.8125,auto,0
3.8862,2.8629,-0.0933,business,1
4.1161,3.9368,-0.3033,home,0
5.1261,0.0914,-1.6735,auto,1
2.6478,4.7866,-1.82,education,1
6.8885,2.3351,-0.0908,home,1
0.9235,6.7433,-0.8636,business,0
4.5499,3.054,0.4682,business,1
0.866,1.092,-0.0071,home,0
4.238,5.3414,-0.7705,business,1
7.1436,1.2372,2.1229,business,0
7.3151,1.8436,0.4611,business,1
8.5824,4.7945,0.465,education,1
3.0576,1.6248,-1.7849,education,0
4.0143,6.9305,0.6433,education,0
3.2179,5.283,-0.4916,education,0
6.6495,0.9039,-0.7251,home,1
1.2911,3.3369,1.1967,education,0
5.2399,6.5341,0.4307,auto,1
3.9333,10.5719,-0.511,auto,0
2.0192,0.6261,0.0629,education,0
4.1299,3.0014,0.2373,home,0
2.8425,1.4363,-0.4995,auto,0
6.8273,1.7553,-1.0038,education,0
7.5793,5.3306,-2.1902,auto,1
2.826,3.3388,0.205,education,1
6.4395,5.8005,0.7034,auto,0
0.7807,6.5404,0.294,business,1
6.7601,1.6454,0.1976,home,1
9.0774,5.6918,1.838,home,1
1.5772,8.852,-1.1517,home,0
2.1329,0.9517,0.8199,home,0
4.698,4.5898,0.5095,auto,1
0.2952,3.0922,-1.9538,education,0
1.8848,5.7088,-0.3136,home,0
1.0314,2.0085,-0.1909,auto,1
3.7622,3.6911,-1.3744,education,0
7.6368,3.4249,-0.6997,home,1
3.413,0.6538,0.4951,home,0
0.3304,8.4187,0.9395,auto,0
2.6737,2.3899,0.1859,business,0
3.6088,2.8439,0.2707,education,1
2.3386,3.8257,-1.0674,business,0
9.64,5.8895,-0.1176,business,0
2.9948,2.1012,1.2603,home,1
3.3164,0.9725,-0.9119,home,0
0.5781,14.7656,-0.0028,business,0
5.6299,8.8948,-0.8483,home,0
6.1424,6.6841,1.14,education,0
7.4385,1.5623,0.3285,home,0
2.6019,2.6548,-1.6922,business,1
1.8353,3.1242,-0.0623,home,1
8.0953,0.3463,0.2517,business,1
1.6354,4.8479,-0.39,education,1
2.3304,7.0014,-0.2875,business,0
4.8961,4.7436,-0.6446,education,0
