operating_hours,temperature_c,pressure_bar,machine_type,failure_within_30d
1.135,0.272,-0.5057,type_a,1
0.9315,0.8718,-0.5476,type_a,0
3.091,-1.3271,0.467,type_c,0
3.7755,1.5026,-0.8494,type_a,1
0.4566,-0.3528,-1.3028,type_c,0
3.7581,0.7837,0.7226,type_a,1
3.0911,1.1656,-0.1957,type_b,1
0.9613,0.3402,-1.3733,type_c,0
5.4807,1.4659,-0.7861,type_a,1
5.8224,0.9442,-0.5435,type_a,1
1.1813,-0.8063,-0.3852,type_a,1
6.1788,0.061,-0.0596,type_c,0
3.6318,0.405,0.8181,type_b,0
0.5731,0.5238,-1.2727,type_b,1
3.3891,0.4489,-0.6442,type_c,0
2.5754,1.5949,1.9236,type_a,1
13.4735,0.2653,0.987,type_c,1
0.7772,0.0059,-0.5916,type_b,1
4.8055,-0.6502,-0.148,type_c,1
2.6928,0.5153,-1.8994,type_c,0
3.6027,0.8977,0.6175,type_c,1
8.9234,-0.1861,1.1429,type_b,1
2.0206,-0.3412,-0.1023,type_b,1
3.2522,-0.2654,-0.0974,type_a,1
7.5458,-1.1207,-1.4264,type_c,0
1.8395,0.2785,0.2991,type_b,1
4.4614,0.784,-0.0251,type_a,0
1.1288,0.4045,1.6267,type_b,1
0.5892,1.1067,1.621,type_a,0
2.9317,0.93,0.9166,type_b,0
2.1809,-0.3923,0.4425,type_c,1
3.6454,-1.9685,-0.5281,type_c,1
6.1242,0.5185,0.6258,type_b,0
6.044,-0.1568,1.5514,type_b,0
6.2192,1.6135,2.0843,type_a,0
7.0576,-0.8101,-0.3278,type_a,0
3.1966,0.4398,0.0221,type_b,0
1.9774,-0.0317,-0.3479,type_a,0
5.9428,-0.0084,1.0979,type_b,0
2.4065,-0.4477,1.125,type_c,0
3.8255,-1.411,-1.6211,type_a,1
4.7758,-0.0173,2.4125,type_c,1
2.8677,1.5899,-2.2041,type_a,1
1.7533,-1.7725,0.6802,type_c,1
4.5754,0.2396,-0.4717,type_b,0
7.5155,2.6939,-2.1925,type_c,0
5.7321,1.508,-2.4637,type_b,1
2.7441,1.4703,0.8627,type_b,0
