visits,time_on_site,engagement_score,industry,region,converted
8.2713,-0.147,0.7844,finance,NA,0
10.489,0.2035,0.6189,tech,EU,1
5.1011,-0.7968,-0.9131,tech,EU,0
1.1717,1.6452,0.5461,tech,EU,1
4.0042,1.4981,0.2183,health,EU,0
2.0631,0.0951,-0.9358,finance,APAC,1
2.6994,-0.1165,0.1227,health,APAC,1
1.3535,1.9081,0.5842,tech,APAC,1
0.3585,-0.3367,-0.4663,tech,NA,0
2.9334,1.5833,-0.4031,health,EU,1
1.7689,1.4898,0.7574,finance,NA,0
6.358,0.0735,-0.0494,finance,APAC,0
1.8646,1.5262,-0.1238,tech,NA,0
5.9646,0.1266,0.7193,tech,EU,0
1.2539,0.2462,-0.8061,finance,APAC,0
6.4799,0.5158,0.0726,tech,NA,1
0.7374,-0.8947,-0.8135,tech,EU,0
3.8133,1.2279,-0.4295,health,APAC,0
6.3718,0.7267,-0.8997,health,APAC,0
1.8237,1.5894,0.189,finance,APAC,0
3.8443,-0.6432,-0.3676,tech,APAC,0
8.3189,0.2723,-0.2609,health,APAC,0
2.0811,0.2991,-0.4711,health,EU,1
2.8901,-0.0082,-0.8984,finance,EU,1
3.278,1.3009,0.7662,health,EU,0
6.4738,0.4327,-0.5798,tech,APAC,1
4.6884,0.5334,0.7628,health,EU,1
3.0621,1.4648,-0.5551,finance,NA,1
4.3962,-0.4256,0.359,finance,NA,0
1.1206,-0.5749,-0.1272,tech,APAC,0
2.9681,0.8064,-0.6059,health,APAC,1
3.0635,-1.0944,-0.7454,finance,NA,1
16.8218,-1.1387,-0.07,tech,APAC,0
2.2402,0.0045,-0.5507,tech,EU,0
1.8149,-0.6067,-0.7049,tech,NA,0
7.2985,-0.5522,0.3352,health,EU,0
1.7386,-0.0186,-0.4816,health,APAC,1
2.3176,1.1559,-0.6983,tech,NA,0
7.0802,0.1704,-0.9609,health,NA,1
2.1127,-0.1073,0.7956,finance,NA,1
1.0964,0.4066,0.8139,health,APAC,0
