packet_rate,failed_logins,latency_ms,protocol,intrusion
3.187,1.1475,-1.5639,udp,0
11.8263,4.086,-0.3131,icmp,0
0.7291,7.4737,-1.127,icmp,1
4.9355,5.7818,1.5641,tcp,1
4.158,1.9366,2.2848,tcp,0
12.6108,7.2304,-0.3006,icmp,0
4.7863,2.9148,0.7225,icmp,1
4.8487,0.9966,1.3485,udp,0
2.4437,2.449,0.0549,udp,1
1.4024,2.2642,2.2282,tcp,0
1.4225,5.2775,-0.5375,tcp,0
5.7237,1.8872,1.376,udp,1
1.4277,5.9654,0.0729,tcp,1
6.0234,7.1358,-0.269,udp,1
1.6441,2.1423,1.0977,udp,0
5.2871,5.2841,-1.2918,icmp,1
0.7131,2.7405,-0.846,tcp,0
2.0827,4.5904,-2.6519,tcp,1
5.8351,3.2946,0.5676,icmp,1
5.4433,1.5665,1.4922,udp,1
7.6221,0.7581,-0.6108,icmp,0
6.4237,3.3644,-0.3995,tcp,1
2.2578,2.1206,0.1182,icmp,1
7.1231,2.4504,-1.3574,tcp,0
0.7584,1.9979,-0.6735,tcp,0
1.432,1.8709,-0.5344,icmp,1
7.0441,2.271,-0.4078,tcp,1
0.9804,0.7751,-1.2931,icmp,0
7.0296,2.0665,0.1641,udp,1
3.2904,1.7351,0.711,tcp,0
0.4774,2.6845,-1.785,tcp,0
3.6007,7.7842,-0.6737,icmp,1
1.6312,1.989,1.2216,tcp,0
0.1989,7.0715,0.491,icmp,0
5.4889,3.6031,0.9543,icmp,1
4.6391,2.632,0.0201,udp,0
6.7888,5.495,-1.737,tcp,0
2.5084,3.4031,0.897,icmp,0
4.5415,0.3923,-0.0658,tcp,1
6.7741,4.0477,-2.0311,udp,0
2.0627,2.1727,-0.1717,tcp,0
2.8111,2.4185,0.4906,icmp,0
4.3195,1.2824,-0.5568,tcp,0
0.664,0.8483,-0.6838,tcp,0
4.9246,9.0746,-1.7643,icmp,1
7.0009,5.8465,-1.7609,tcp,1
1.9883,3.8584,0.4374,tcp,1
2.7803,2.4526,0.0134,udp,0
7.1705,10.2444,0.5823,tcp,1
4.546,1.9246,0.3953,tcp,0
4.851,1.7897,-0.7335,tcp,1
0.9654,6.4364,-1.448,icmp,1
2.3425,4.4043,0.4556,tcp,0
9.461,3.4453,-2.1256,udp,1
5.9061,8.811,1.252,udp,1
7.1341,2.5952,-0.6708,icmp,0
1.6179,8.5457,-0.1095,icmp,1
0.7806,3.7823,0.1375,icmp,0
5.9297,7.8713,0.1886,udp,0
8.8963,3.7587,-0.2097,udp,1
2.6942,12.4062,-0.6156,tcp,1
2.1431,1.4622,0.3948,udp,0
5.7475,2.3129,0.3176,udp,0
8.4447,2.7542,0.3955,tcp,1
2.2404,13.3762,-0.2114,icmp,0
7.2999,9.7161,-0.7231,tcp,1
4.296,2.7572,-0.2892,icmp,0
5.861,6.29,0.7312,tcp,0
3.7579,8.3534,0.6778,tcp,0
0.4843,1.4959,2.0976,tcp,0
5.7743,4.1695,0.7692,icmp,1
1.9236,4.8122,0.6038,udp,0
5.8101,0.6368,-0.3652,icmp,0
3.7033,4.5872,-0.3111,icmp,0
2.6561,2.3403,-0.173,icmp,0
2.2382,2.2344,0.3403,tcp,1
7.9227,4.4151,0.4445,icmp,0
1.8466,5.8311,-0.1804,udp,0
5.7171,6.5029,-0.2464,tcp,1
3.3572,9.7975,0.2405,udp,0
7.4336,2.3746,-1.9897,icmp,1
3.8953,1.8402,-1.0903,udp,1
5.6033,9.9512,-1.1296,icmp,0
4.8276,10.7923,-0.5416,udp,0
8.58,0.7788,0.4941,udp,1
3.5557,5.452,-1.4643,tcp,0
0.552,0.9626,-1.1968,icmp,1
0.6831,1.615,0.8893,udp,0
10.444,5.8936,-0.3125,icmp,0
