marketing_spend_k,sales_team_size,seasonality_index,region,quarterly_revenue_k
2.8762,2.8104,0.5031,east,4.4233
1.451,0.6629,0.8617,west,-1.543
1.2104,5.7071,-0.1814,south,-7.3588
2.771,0.4107,-0.1101,north,-9.0916
2.4467,3.4677,0.7479,east,6.2238
3.425,0.7755,-0.2988,south,6.6817
1.0989,1.9468,0.3191,south,0.4878
2.2512,6.2999,0.4575,west,-11.6141
6.275,13.036,0.9777,east,-10.2163
0.9281,3.1553,-0.085,south,5.7521
3.7189,2.5306,-0.327,south,7.628
3.2463,12.1109,0.121,south,3.2623
4.2781,8.1387,0.5099,north,26.1847
9.0999,3.8465,0.6579,east,2.4268
1.6553,14.0386,0.3657,north,-33.984
13.8403,6.9084,0.5036,west,-15.8647
7.0612,1.8174,0.0297,east,16.5485
3.7981,2.5456,-0.3048,east,0.3657
6.3312,4.6142,0.0197,west,6.4397
2.4032,5.4757,-0.7017,south,-9.1824
3.3949,2.8259,0.8528,south,-5.6546
6.8361,0.9052,-0.2378,west,2.5927
2.1212,4.8469,0.5201,north,-11.3577
2.0916,1.9357,-0.0149,east,-1.4954
2.3454,6.8666,0.7097,south,11.9639
7.1069,1.0061,-0.8936,east,4.1287
7.355,6.1554,0.3656,south,-6.7779
4.1778,1.1682,-0.0705,east,1.6035
1.2231,8.2473,-0.4084,east,3.2256
6.1186,2.0051,-0.1298,south,9.4824
0.8871,3.3272,0.4517,south,-5.1137
1.7552,0.9695,0.3554,east,-1.2273
3.0501,0.5251,0.3619,south,2.1635
1.0489,7.4009,-0.5537,west,7.628
2.3624,3.2137,0.7812,east,-2.6522
8.0998,3.388,-0.4101,west,-5.7599
2.6558,3.4258,-0.1705,east,-1.6969
8.9072,5.6173,0.8898,west,12.3231
4.1841,2.2053,-0.66,east,7.9314
6.4842,15.2476,0.2064,west,-36.8081
1.6795,4.147,0.5471,south,7.8767
3.474,7.3695,0.3418,west,6.824
1.3601,4.5651,0.5025,east,-7.5112
4.1449,2.9873,0.0982,east,-14.996
3.8635,8.1706,0.7879,west,6.7332
1.4237,2.4811,-0.1934,south,0.4141
8.5594,2.1715,-0.4392,south,0.8516
5.6839,2.224,-0.7958,north,-5.2035
7.5055,3.2901,-0.9986,north,-6.4115
2.1717,1.0925,-0.6275,east,-1.6158
2.2138,2.568,0.4219,north,-0.8704
4.3172,5.2831,0.323,south,-1.7956
3.8709,3.6042,-0.7881,north,-6.47
5.0252,1.3494,0.8287,east,2.125
1.1198,8.7027,-0.8102,south,-14.6585
6.6883,14.8437,-0.3776,south,-35.9996
0.5208,0.3527,0.8368,west,-4.9057
5.6159,4.7272,0.1251,east,-6.4014
3.3632,1.5497,-0.3025,west,-2.9562
5.5387,5.1764,-0.7374,south,42.7836
0.4892,6.1689,0.1087,north,-16.6801
4.86,3.7118,0.8523,south,8.2254
1.612,6.1177,0.5814,east,-3.0186
0.7173,0.5872,0.2665,west,1.5194
10.5824,0.906,-0.9882,east,-24.5982
3.2735,0.7773,0.4029,west,6.6675
4.0762,4.7861,-0.9403,east,13.5196
1.1137,3.8325,0.3685,east,0.0915
3.5818,1.6528,-0.2818,west,-0.2066
1.7209,3.6821,0.2011,north,-14.2119
2.6958,4.2053,-0.2494,north,5.8714
4.5183,5.4875,0.5375,west,1.4682
4.5463,1.3738,0.3502,north,-0.5512
2.8181,11.7431,0.8695,south,-8.1974
