irradiance,ambient_temp_c,panel_age_years,sky_condition,power_output_kw
4.4815,0.9527,2.8998,cloudy,-1.7753
2.0086,0.6224,1.2494,clear,4.491
2.4355,-0.108,8.1951,mixed,-17.1493
16.8753,1.0884,4.0426,clear,-8.5355
5.6626,-0.7505,1.8233,mixed,-9.5398
1.2302,0.9461,4.4767,clear,5.2647
4.3893,0.7868,8.8094,clear,-10.3065
5.7455,0.9352,3.398,mixed,2.6348
11.1932,0.9853,2.1074,mixed,2.5792
3.1354,0.0344,3.8033,cloudy,8.0948
7.4543,-0.7878,2.342,cloudy,4.4958
2.6307,-2.2187,4.4208,cloudy,1.3174
5.1312,-0.1475,4.5281,clear,-1.9246
4.2605,0.9425,5.7477,cloudy,1.7336
5.3676,0.8725,0.7203,mixed,0.3926
6.681,0.5419,3.4295,cloudy,-12.7137
2.6102,0.2245,4.9066,clear,-1.4805
5.8088,-0.8975,2.6806,mixed,2.9133
1.8449,-0.1516,0.7701,cloudy,1.3524
3.4854,1.2409,1.4521,clear,1.4591
10.1287,-1.5334,1.0855,cloudy,3.871
2.4622,-1.4613,8.7643,cloudy,12.1287
2.6764,-0.0832,0.9544,clear,-0.4715
4.8077,0.6428,2.6081,clear,9.907
2.0071,0.1535,8.139,mixed,-12.8007
5.419,-0.0625,1.5994,cloudy,11.2278
7.4453,-1.1367,8.6261,mixed,10.5039
2.6826,0.5676,4.5743,clear,2.8449
5.4062,2.5055,1.3432,clear,-4.3972
8.8056,0.1959,3.9758,clear,0.0431
1.1612,1.854,4.0687,mixed,1.8639
4.3773,0.1186,0.7278,mixed,7.2188
4.5167,-1.2853,4.5043,cloudy,1.5254
5.0863,1.1198,8.5658,mixed,3.1875
1.4747,0.6357,6.5612,clear,-0.9145
1.5706,-1.0034,0.7701,mixed,-0.186
0.8013,0.0354,3.1842,mixed,-1.1676
8.8415,-0.0236,1.9588,clear,-15.5195
3.7459,-0.9627,0.9767,mixed,2.3917
1.5582,1.0292,7.6341,cloudy,5.8438
2.6179,-0.4109,9.4335,cloudy,-9.3818
4.3339,-0.4477,4.8864,cloudy,0.894
0.9626,-0.241,1.308,cloudy,-1.913
3.059,-0.9772,6.0544,clear,8.6967
6.0977,0.7776,9.0252,clear,0.0662
3.0773,-1.2276,6.6724,cloudy,1.5545
5.0225,-0.71,2.3688,mixed,0.3702
0.2546,-0.1465,9.0992,cloudy,3.969
1.7386,1.0482,3.157,cloudy,-7.1653
2.7189,-0.2942,2.886,cloudy,6.2914
4.0297,1.4275,3.4377,clear,-3.3548
5.1311,-1.5236,4.3047,cloudy,-5.4924
4.8317,0.4742,1.703,cloudy,0.4067
2.4918,-0.8834,1.6157,cloudy,0.2333
3.6273,0.5306,5.4764,clear,10.0341
2.1365,0.5017,3.8011,mixed,-4.3141
2.0686,0.6527,3.9627,cloudy,2.0396
1.2875,0.9507,3.7606,mixed,2.8977
0.8451,0.9231,3.1818,cloudy,-1.604
6.966,-1.4594,3.9634,mixed,-4.4098
4.7445,1.1687,3.9297,cloudy,8.4043
0.4234,0.4489,1.1047,cloudy,0.3963
4.8665,-0.3494,3.4049,cloudy,-19.0637
3.5769,-1.5342,10.8788,mixed,-5.917
1.3303,-2.5315,2.4216,clear,-0.8472
3.8379,-1.1456,5.7196,clear,-2.6358
3.415,0.1705,3.5338,clear,3.5089
3.8334,0.6525,17.5917,mixed,-8.1957
5.9749,1.1217,2.4983,clear,-5.1207
3.1044,-0.0168,4.0026,clear,-2.8612
4.1435,-0.3628,8.179,clear,-16.4268
0.6261,0.6528,2.911,clear,3.5958
1.1988,0.7671,2.3884,cloudy,1.7774
3.5308,-0.8803,1.9118,cloudy,1.05
9.2165,-0.5709,2.4611,cloudy,3.277
5.5732,0.9818,9.5517,clear,22.0081
0.7575,-0.0298,0.2233,clear,1.0031
0.5912,-1.23,4.8296,mixed,5.8546
7.4152,-0.0391,5.1988,cloudy,-3.0894
1.5303,-0.3755,0.7934,mixed,-1.6663
2.6564,0.8311,1.1857,cloudy,0.2885
2.9243,-1.1053,4.0929,mixed,-0.4112
4.503,-0.6641,2.9809,clear,3.4883
1.9853,0.8137,1.9637,clear,0.2805
0.4382,-2.1136,1.9005,clear,-1.7189
2.1707,0.8672,4.137,mixed,-9.2441
3.9207,0.6617,1.4317,clear,-11.3563
3.873,-0.0116,4.5518,clear,-7.8431
2.4388,0.5667,6.8509,cloudy,-15.0039
8.2049,1.0691,4.1076,cloudy,0.445
2.8114,0.5242,6.5247,mixed,-13.252
6.7272,0.8263,5.8053,cloudy,-3.0898
1.4273,1.4272,2.1854,mixed,1.1767
4.3723,1.0248,9.4568,clear,0.7564
6.9011,0.4155,8.4082,cloudy,4.3927
0.8193,-1.6603,4.0343,clear,1.8981
5.18,0.2404,3.1661,mixed,9.1814
3.591,-0.7633,0.3227,cloudy,-3.1471
1.2589,0.0861,3.6763,mixed,-10.4265
3.6204,-1.0063,3.5216,mixed,6.2229
3.3642,-0.9037,11.2253,mixed,34.7133
7.9727,0.9627,0.8989,mixed,-23.5002
