distance_km,order_size,warehouse_load_pct,transport_mode,late_delivery
3.6499,5.3932,-0.8445,air,1
5.4413,2.7182,-0.9784,sea,1
3.3236,7.5277,-0.6541,road,1
8.9184,3.2328,-0.3741,sea,1
4.8273,8.721,-0.5593,sea,1
2.301,7.7408,0.8131,air,0
3.1848,1.1666,-0.4872,sea,0
2.3741,0.6992,-0.4061,road,1
7.7811,1.7416,0.6862,road,0
1.9232,7.8291,0.5058,sea,0
5.4298,4.459,0.2892,air,0
0.6679,4.6116,0.7757,road,0
1.4944,2.5544,0.5199,air,0
4.2908,4.8809,0.6956,sea,1
1.3491,1.2422,-0.722,sea,1
1.6917,3.0389,-0.9405,air,1
5.4513,1.0391,0.887,air,1
1.7623,4.9138,-0.6922,air,0
5.4151,1.6463,-0.4752,sea,1
1.9753,3.1473,-0.5252,road,1
10.4273,2.7289,-0.2392,road,1
5.3231,1.3524,0.1228,sea,1
9.6651,1.3775,0.0776,road,1
1.0059,7.3569,0.0554,air,1
3.2684,1.0445,-0.8137,sea,1
6.8475,7.2365,-0.5928,road,0
0.5913,3.0968,-0.1708,sea,1
2.3501,11.732,0.1589,road,0
5.7622,12.3848,0.4385,sea,1
3.3739,10.8446,0.2498,road,0
3.434,5.283,0.1897,air,1
1.6942,13.7206,-0.4095,road,1
3.3374,1.1967,-0.5543,air,0
2.9321,3.4745,0.5221,sea,1
0.568,5.096,-0.4883,road,1
2.1239,0.3291,-0.456,road,1
1.3931,4.774,-0.1999,air,1
8.3338,0.5692,0.1706,road,0
0.378,4.0747,-0.628,air,1
9.9617,6.8242,0.1668,sea,1
0.2984,3.9155,0.9027,air,1
1.5342,2.9404,-0.2557,air,1
7.3258,0.6491,-0.8087,road,1
4.7551,20.0856,-0.405,road,0
4.8034,5.8614,0.3227,sea,1
7.3196,1.8212,0.2711,air,0
3.9001,3.0233,0.3946,air,0
6.6435,5.0973,-0.031,road,0
1.2811,4.2859,0.6546,air,1
5.8755,3.5122,-0.9944,sea,0
1.1618,0.714,0.5425,air,0
5.072,2.3641,-0.0357,sea,1
4.6806,1.4605,-0.1619,road,0
1.0923,1.7271,0.0313,sea,1
5.8362,4.185,-0.9998,sea,1
1.5404,7.7547,-0.9897,sea,1
1.4747,0.7934,0.95,road,0
1.3375,5.3845,0.21,sea,0
6.2906,4.92,-0.4575,sea,1
0.9745,2.9172,-0.9774,air,0
3.565,2.7946,0.4237,air,1
5.0522,1.1366,0.0275,road,1
2.6118,2.0849,-0.2165,road,0
2.6602,6.3355,0.4417,air,0
4.1831,0.404,0.6809,road,0
1.519,7.1599,0.3986,road,0
0.3308,3.5326,-0.2204,sea,0
3.2971,3.6829,0.3124,sea,0
11.7034,0.9765,0.9039,sea,0
5.8244,0.7453,0.7908,air,0
1.5061,2.8305,0.6078,air,1
2.789,14.6947,0.4981,road,0
2.6181,4.9563,-0.3387,sea,0
3.2395,5.3581,0.294,air,1
12.0907,7.8744,-0.5255,sea,0
2.91,3.5357,0.1949,air,1
6.419,7.55,-0.0731,sea,1
5.3052,6.353,0.1137,road,0
5.5011,1.8174,-0.3043,air,0
4.741,7.2734,-0.258,road,1
10.6297,2.2104,-0.3808,sea,1
1.4462,5.8662,0.9886,sea,0
14.0953,1.682,-0.0059,sea,0
3.0871,5.5222,-0.3848,air,0
2.6379,1.1468,-0.0649,road,0
1.1677,2.1653,0.4872,road,1
2.4607,5.5362,-0.4723,sea,0
3.4812,0.0721,0.6951,air,1
11.1241,4.6266,-0.5162,air,1
1.9531,1.4402,-0.9202,air,0
0.5429,2.517,-0.6263,sea,1
3.6812,6.0909,0.372,air,0
6.4251,1.7726,-0.5752,road,0
4.7977,1.8516,-0.3435,sea,1
1.8083,1.6915,0.9188,air,0
5.3212,3.9355,0.4494,air,1
3.1688,1.3543,-0.2031,road,0
4.7754,3.323,-0.3736,sea,0
7.197,1.3256,-0.0079,road,0
1.9136,3.7156,0.6837,air,1
4.0065,0.9466,0.8877,sea,1
4.1333,2.5125,0.8506,road,0
0.9311,1.3715,0.1975,sea,0
0.6478,3.2381,-0.7142,sea,1
0.6378,5.9986,0.0961,road,0
4.8058,3.3121,-0.9918,road,0
0.2902,4.3389,0.8308,sea,0
3.0537,1.3092,0.0268,air,1
2.4792,6.5406,-0.4198,air,1
1.3452,2.7135,0.9591,sea,0
3.946,3.1332,0.7672,air,0
4.826,7.1851,-0.7186,sea,1
2.4712,2.5595,-0.0015,sea,0
3.4641,2.8039,-0.9886,road,0
0.8487,8.18,-0.2348,air,0
2.992,2.5598,-0.7126,air,1
2.9607,5.1998,-0.9162,air,1
7.1254,2.81,-0.1776,road,1
2.236,1.2653,-0.5748,air,0
6.4269,0.4514,0.7553,sea,1
5.7519,11.2742,-0.9155,sea,0
0.0778,3.1591,0.1461,sea,1
5.1283,14.3083,-0.7057,air,0
3.3463,5.2391,0.742,sea,1
2.789,4.1622,-0.2694,road,0
4.3484,4.9757,0.044,road,0
0.9937,3.6937,0.2934,sea,0
2.6023,4.1026,-0.4149,air,1
2.6284,1.8936,0.3628,road,0
6.0377,0.7409,0.6434,sea,0
9.2428,4.6704,-0.0525,road,0
7.3034,6.1216,0.5932,sea,1
1.6039,1.9854,0.9689,road,1
3.0193,6.1616,0.7298,road,1
4.4504,6.8828,0.1621,road,0
3.9522,4.0068,0.0502,air,0
4.8246,3.5581,0.2053,sea,1
5.038,2.103,0.6947,air,1
1.2904,2.0701,0.9314,air,0
3.5319,5.06,-0.5522,road,1
1.8238,6.8228,-0.0183,road,0
3.6113,2.9082,-0.0263,air,0
1.0925,3.1391,0.5353,air,0
2.2524,1.9256,-0.4397,sea,1
9.6587,0.3386,0.4031,air,0
3.5575,3.8762,0.6383,road,1
1.1555,7.4716,-0.5358,road,1
4.2359,7.8196,-0.5362,road,1
5.8349,6.2925,-0.0028,air,0
2.7051,0.9915,-0.533,road,1
7.6958,1.3254,0.2851,air,0
1.9715,2.1299,-0.5051,sea,0
5.6116,4.2421,-0.7553,road,0
5.9273,0.2882,-0.8727,air,0
5.9476,2.0645,0.7825,sea,1
2.1352,3.8827,0.6217,road,1
4.8128,0.8238,0.5413,air,0
2.2509,1.7122,-0.6257,air,0
4.7747,1.8617,0.9948,air,1
4.1765,4.8825,-0.4627,air,1
0.6995,1.6646,-0.9677,sea,1
3.4803,9.8178,-0.5094,air,0
1.8612,2.2334,0.0992,air,0
1.648,1.1086,-0.288,road,0
2.2122,8.6201,0.7166,road,0
2.7844,3.7891,0.9371,road,1
4.8866,17.2285,-0.5176,sea,1
1.3516,2.5473,-0.2848,road,0
2.3757,5.78,-0.9721,air,0
3.0434,3.2432,-0.8002,sea,0
8.1051,8.4186,-0.1749,air,0
5.8596,3.0964,-0.7423,air,1
4.2466,4.3355,0.443,sea,1
15.6145,5.9129,-0.3295,sea,0
2.6094,5.29,-0.9454,air,1
