time_of_day,weather_index,lane_count,day_of_week,vehicles_per_hour
0.5484,0.0135,3.7585,mon,2.831
-0.4065,-0.7121,6.472,mon,-7.9586
-0.8158,-0.9613,3.0202,wed,-3.7299
0.9875,-0.4597,0.4619,sat,-3.0792
-0.8509,0.722,5.5146,tue,-5.2405
0.9443,-0.7736,0.9557,tue,3.8016
-0.2387,-0.9507,1.2818,tue,2.8458
0.1515,0.6977,2.5819,wed,1.1436
0.2038,-0.2922,3.4999,wed,1.5793
-0.6829,-0.1181,4.4434,sat,6.6158
-0.0363,-0.3917,9.3023,wed,31.6042
0.5136,-0.28,2.7136,fri,-1.307
-0.0354,0.8854,2.5706,sun,0.9371
0.891,-0.1436,4.0735,fri,3.1213
0.5445,0.8967,3.1495,mon,-3.2435
-0.0694,-0.8784,7.5965,tue,11.9247
-0.2954,0.8948,5.3594,wed,2.153
0.5224,-0.734,1.0801,mon,0.0526
0.0604,-0.3468,2.4791,wed,-0.3926
0.045,-0.1378,0.694,sun,-1.62
0.7171,0.0449,2.924,sun,3.481
0.8112,-0.4332,1.7596,tue,-0.3727
-0.789,0.4477,1.4138,sat,0.5439
0.119,-0.0952,6.7712,thu,2.6381
-0.423,-0.4528,2.4084,sun,6.169
-0.5773,0.0612,1.7872,sat,1.7858
-0.4677,-0.8172,10.0966,sat,-11.4381
-0.471,0.1821,2.2033,sat,-5.3904
-0.7136,-0.6612,5.0986,thu,-13.0054
-0.0587,0.1888,8.6,sat,-1.5674
-0.8573,-0.8125,4.9889,mon,0.2931
0.8384,-0.7352,1.868,fri,-1.9583
-0.7562,-0.8467,6.5818,tue,-7.8738
0.5658,-0.1273,6.9547,mon,7.4204
0.6066,-0.1489,1.7568,fri,-1.7551
0.8342,0.0137,5.526,sun,-14.8111
-0.3465,0.5734,8.9497,wed,-5.6732
0.689,0.5855,3.0318,wed,5.441
0.9418,0.7603,0.9232,tue,-5.0973
0.3189,-0.425,0.4569,tue,-1.1734
-0.5873,-0.7395,2.2591,sat,2.6372
0.7688,0.4911,4.6567,sun,-5.0229
0.3959,-0.1652,2.2108,mon,2.7132
0.698,-0.3762,5.3554,sun,-3.379
0.6435,0.7298,0.9597,sat,0.5892
0.4339,0.3757,3.727,thu,-4.3503
-0.651,-0.0715,0.6346,sun,-3.9738
0.4673,-0.7438,1.0483,thu,-0.6295
-0.8828,-0.9399,1.2081,thu,-2.8465
-0.4122,-0.5975,3.5616,tue,-13.6435
-0.5633,0.0294,4.5875,sat,8.8653
0.3417,0.8033,10.9596,sat,-5.2026
0.619,-0.2066,7.1158,mon,-2.7992
0.8507,0.5441,5.6775,tue,-7.4348
-0.2836,0.4448,6.9935,fri,-6.4134
