distance_km,traffic_index,vehicle_utilization,route_type,delayed
4.5965,-0.8654,0.5981,rural,1
1.3557,0.8671,0.4205,rural,1
1.7716,0.6688,0.819,rural,1
2.741,0.7279,-0.1896,interstate,0
1.5,0.1203,-0.0468,rural,0
1.9183,-0.06,0.0623,rural,1
1.4626,-0.1531,0.1433,rural,1
2.5612,0.2212,0.2028,urban,0
2.9805,-0.7736,0.1587,urban,1
2.1781,-0.9477,0.3052,urban,1
1.2416,-0.9072,-0.4451,rural,0
4.675,0.6949,-0.8892,interstate,0
4.5275,-0.9284,0.2418,interstate,0
5.9332,-0.0188,-0.4658,rural,1
1.5341,0.6669,-0.18,rural,0
11.6746,0.9994,0.904,interstate,0
4.6883,0.391,-0.2219,interstate,1
1.2858,0.683,0.4708,rural,1
3.502,-0.9378,0.5557,rural,1
1.2222,0.9763,-0.2793,rural,1
6.6255,0.7413,0.051,rural,0
6.6227,-0.6139,0.1639,interstate,0
3.1299,0.2129,0.2261,rural,0
6.6585,-0.8734,0.6999,interstate,0
1.5756,0.6624,0.7209,rural,1
11.8784,0.2774,0.2263,interstate,1
4.4049,0.9818,0.1066,urban,0
5.744,-0.7098,0.6528,interstate,0
2.9228,-0.1346,-0.6916,rural,0
4.6033,0.3519,-0.426,interstate,1
3.5016,0.2598,0.4702,interstate,0
1.2308,-0.0921,-0.8508,urban,1
4.9539,-0.7086,0.3093,interstate,1
3.9755,0.5246,0.7701,interstate,1
5.3703,0.0531,-0.6685,rural,0
5.1349,-0.1138,0.7139,rural,0
5.3309,-0.7993,-0.5592,urban,1
3.3655,0.6113,-0.7307,rural,0
1.5922,-0.2712,-0.8006,urban,0
8.2039,-0.8738,0.7645,interstate,0
0.4341,-0.5622,-0.9074,urban,0
5.8959,-0.098,-0.9445,urban,1
1.4101,0.9507,-0.5739,rural,1
5.2104,0.3211,0.1314,urban,0
4.6567,0.8986,-0.4778,rural,1
2.5228,0.8531,0.8311,urban,1
2.8013,0.6573,0.6601,urban,1
8.2795,0.4927,0.4155,rural,1
0.4921,0.6611,-0.1875,interstate,0
1.4469,-0.126,-0.3453,rural,1
2.4549,-0.3808,0.5142,rural,0
6.1801,-0.0159,0.7596,urban,1
2.8702,0.5775,-0.2618,urban,0
2.3714,0.1133,0.476,rural,1
5.403,0.9671,0.2483,urban,0
2.1964,-0.3069,-0.3432,rural,0
0.2927,-0.4959,0.9879,urban,0
2.5141,0.7482,-0.1094,interstate,0
7.4944,-0.5601,-0.0552,urban,1
3.2984,-0.9053,0.7311,rural,0
6.72,-0.0857,-0.7782,urban,1
4.2655,0.9478,-0.1264,rural,1
7.8674,-0.8153,0.5968,urban,0
11.7823,0.5911,-0.6831,interstate,1
4.7313,0.8232,0.3762,interstate,1
2.6485,-0.4648,-0.0694,rural,0
1.2564,0.3423,0.5107,urban,0
0.8965,-0.7026,0.3164,rural,1
6.9539,-0.0846,-0.2567,rural,1
4.1671,0.5066,-0.1733,rural,1
3.0759,-0.6143,-0.8913,urban,1
1.5876,0.2377,0.7462,interstate,1
4.5294,0.1183,0.6388,interstate,1
5.0165,0.272,-0.7655,urban,1
4.7186,0.9203,0.7033,interstate,1
11.9795,0.6239,0.4291,interstate,0
1.1667,0.1305,-0.51,urban,0
6.9409,-0.3702,-0.5148,urban,1
4.7676,-0.4742,-0.6239,urban,0
6.3092,0.0908,0.8311,rural,1
1.7355,-0.3851,0.021,urban,0
11.658,0.9241,-0.3608,urban,1
7.7856,0.1057,0.5215,urban,1
0.982,0.7545,-0.8244,interstate,1
4.1899,-0.9935,0.8501,interstate,1
2.7074,-0.5675,-0.0544,urban,1
1.2906,-0.5477,0.2235,urban,1
9.2376,-0.2661,0.6224,urban,1
5.6693,-0.4058,0.2904,urban,1
4.3818,-0.405,-0.3001,urban,0
0.797,0.5844,-0.1586,rural,0
6.7166,0.4025,0.8582,rural,0
0.7558,0.3476,-0.603,urban,1
2.2348,0.3228,0.537,interstate,0
4.1094,-0.3793,0.0925,rural,0
7.8202,-0.9144,-0.371,interstate,0
8.8519,0.9911,-0.8842,interstate,0
3.637,-0.9409,0.9863,rural,1
2.7822,0.8444,-0.9936,interstate,1
0.5578,0.0548,-0.6523,urban,1
10.081,0.7684,0.5854,interstate,0
7.559,-0.6731,0.344,interstate,1
1.2849,-0.6864,0.3317,rural,1
9.4306,-0.5757,-0.9912,rural,0
0.2203,-0.9109,0.891,interstate,1
2.5,0.3841,0.2688,urban,1
0.757,-0.155,-0.4047,interstate,1
3.2904,0.0624,-0.9828,rural,0
3.0757,-0.5176,-0.1635,interstate,1
5.0582,-0.3599,0.2732,interstate,1
6.0981,0.6815,-0.2246,rural,1
3.4526,-0.0064,-0.1008,urban,1
3.1442,-0.3822,0.8209,interstate,0
12.9292,-0.4114,-0.7222,interstate,0
2.4831,0.8059,-0.3986,interstate,0
6.936,0.988,0.9654,interstate,1
9.818,-0.7916,-0.1234,urban,1
1.3085,0.607,0.3328,rural,1
1.9728,-0.1575,0.7869,urban,1
2.2855,0.8278,0.3036,rural,0
3.2448,-0.9919,-0.8954,rural,1
2.259,-0.1321,0.5664,urban,0
3.7572,0.746,0.8855,urban,1
0.5243,-0.7394,-0.0182,interstate,0
11.7942,0.4282,0.3496,rural,0
