ph,hardness,residual_chlorine,source,is_safe
0.3963,4.7171,3.358,well,1
0.1093,9.2842,3.6847,well,1
-0.0581,9.1603,1.1136,well,0
0.8892,1.9608,2.681,lake,0
-0.1185,2.499,4.2784,well,0
0.6102,0.4383,6.7035,lake,0
-0.371,3.2007,9.0636,river,0
0.1133,6.9214,10.527,well,0
0.2939,2.2337,3.8097,well,0
-0.7411,6.3523,2.9978,lake,0
-0.9498,2.6207,4.6509,well,0
-0.6431,1.6534,1.1867,well,1
0.2131,1.7492,4.9242,river,1
0.0465,7.5979,3.2254,well,1
-0.1211,1.434,1.5962,well,1
0.714,1.2591,3.8843,lake,0
0.1044,1.1553,1.5334,lake,0
-0.0886,4.3256,2.7274,lake,1
0.5989,4.6019,9.0013,lake,0
-0.0366,6.5805,13.0121,river,0
0.028,4.1165,0.7965,river,1
-0.6672,6.3334,2.3979,river,0
0.335,2.0874,3.7113,river,1
-0.6471,2.9645,5.3263,river,1
0.0181,0.326,3.0982,well,1
-0.8386,1.2087,5.5376,lake,1
0.8368,0.4592,7.0847,well,1
-0.5632,2.3195,3.146,river,1
0.8092,6.7397,3.2928,lake,1
0.4933,0.6412,1.5125,well,1
-0.0644,2.9251,1.4514,river,1
0.9841,0.5736,2.282,lake,1
0.2238,1.8973,7.0325,lake,0
0.7586,5.748,2.7949,lake,0
-0.1068,2.123,11.9393,lake,0
-0.0808,7.1709,3.9661,well,1
0.0162,1.9057,2.7706,well,1
-0.9637,3.073,3.8183,river,0
-0.7587,4.6666,3.081,river,1
0.5546,0.2493,5.1547,river,1
-0.698,2.7227,2.8268,well,1
0.0822,1.1635,7.4177,lake,1
-0.7135,0.9617,4.3492,well,1
-0.4471,3.3133,9.4272,lake,0
0.5091,2.9892,2.2215,lake,0
-0.8715,9.4982,4.0873,lake,0
0.4731,1.8707,4.8549,river,0
0.855,4.1714,4.4375,river,1
0.9423,9.1782,5.1407,lake,0
-0.6826,1.0163,3.0574,well,1
-0.2949,4.2624,2.5378,river,1
-0.5355,2.9121,6.1026,lake,1
0.1298,4.7565,2.803,well,1
-0.9743,1.8321,0.278,river,1
0.2787,2.0071,3.5496,well,0
0.25,1.7589,2.9255,well,1
0.8244,1.8059,2.8319,well,1
0.6312,7.6372,2.1208,river,1
-0.2482,1.7456,5.2674,river,1
0.7136,10.2079,1.7141,river,0
-0.6476,5.4519,0.8508,lake,1
-0.654,4.2147,1.6084,lake,0
0.015,3.7346,3.5725,well,1
-0.2903,8.3351,6.4816,well,0
0.8285,1.9251,8.6336,lake,1
-0.8996,1.7523,1.6804,lake,0
0.306,2.02,4.6135,lake,0
0.0175,0.5935,2.6545,lake,0
0.0791,2.5471,5.8378,river,1
0.7291,0.7425,3.9016,lake,1
-0.3582,4.4551,1.2418,river,1
-0.4618,0.9231,3.7339,well,0
-0.4973,3.8818,3.0815,river,1
-0.839,12.5235,1.6185,well,0
-0.9231,4.2022,6.2723,river,1
0.3357,3.5407,5.1709,lake,0
0.4949,2.4415,7.5646,lake,0
-0.7325,4.9668,1.3357,well,0
0.2433,2.714,1.5649,lake,0
-0.7902,4.9593,0.535,well,1
-0.598,3.3258,4.5807,lake,0
0.2174,1.3699,1.292,well,1
-0.1483,1.852,5.7084,well,1
-0.3945,5.4343,0.5483,lake,1
0.3635,6.9779,1.7966,river,1
0.7237,3.0402,3.5402,river,0
